outer_postcode,region,lat,long
DG1,DG,55.0736159,-3.581675086
MK8,MK,52.03307867,-0.80458921
ST5,ST,53.01541058,-2.239576652
KY99,KY,56.05290586,-3.436020143
TD8,TD,55.47586424,-2.542249
WV12,WV,52.60582189,-2.040273541
CW9,CW,53.2585046,-2.502092754
SW20,SW,51.41091436,-0.227736715
PL3,PL,50.38823837,-4.127270948
SR7,SR,54.83045815,-1.362968357
BT23,BT,54.5643386,-5.715350387
G60,G,55.92188926,-4.453850594
SK6,SK,53.40520443,-2.080354045
KA14,KA,55.74008329,-4.673376324
EH44,EH,55.61915244,-3.063553852
SA7,SA,51.66473024,-3.888173131
TN39,TN,50.84682887,0.451417547
LE5,LE,52.63848322,-1.084314578
LE65,LE,52.74862857,-1.469418397
CA28,CA,54.54362294,-3.578483446
DG8,DG,54.8724285,-4.516365364
S61,S,53.44405552,-1.394719941
HA6,HA,51.61185126,-0.422432345
PA63,PA,56.381755,-5.715838
TA3,TA,50.99367342,-3.037441641
W4,W,51.4912038,-0.264028271
G46,G,55.80331193,-4.307867696
LS10,LS,53.76241274,-1.532278646
SS6,SS,51.58848852,0.607670371
CV10,CV,52.52605867,-1.501778669
WF6,WF,53.70022522,-1.415558924
EX34,EX,51.19833075,-4.10541897
WD24,WD,51.67374608,-0.398216266
PE35,PE,52.82744054,0.509792846
SA69,SA,51.71098323,-4.706822779
WF3,WF,53.72421824,-1.525595652
B34,B,52.49641932,-1.781714426
UB9,UB,51.58630395,-0.492617843
YO8,YO,53.78122114,-1.060892912
SG5,SG,51.97084321,-0.281367181
B31,B,52.40809735,-1.973381964
BD99,BD,53.79475967,-1.766368
IV42,IV,57.23897571,-5.830896857
PH49,PH,56.6748342,-5.115286634
PH20,PH,57.056297,-4.147571962
OX16,OX,52.06247586,-1.342369284
PL17,PL,50.51504635,-4.310172339
SA32,SA,51.8878365,-4.169315192
KT13,KT,51.36807628,-0.449324677
EC3P,ECP,51.52407419,-0.110582048
NG7,NG,52.95794426,-1.172624183
HU3,HU,53.74234139,-0.367661689
BA5,BA,51.21260905,-2.655091493
NE68,NE,55.57978625,-1.659024118
TW20,TW,51.42752437,-0.552422982
PL2,PL,50.38972908,-4.163418516
EH51,EH,56.01099568,-3.605485435
PA8,PA,55.90090761,-4.453532308
NR15,NR,52.50337084,1.266645824
PA9,PA,55.80728966,-4.55697739
LS13,LS,53.81078823,-1.635378671
CB4,CB,52.22291452,0.129852931
WS12,WS,52.7071267,-2.002006933
L75,L,53.43887538,-2.985670344
BS30,BS,51.44472301,-2.471438676
L32,L,53.47829728,-2.889268246
KA27,KA,55.53884978,-5.17418002
TR12,TR,50.04223758,-5.179519216
E8,E,51.54372465,-0.066177023
